Juego{Nombre='FIFA 15        ', Plataforma='PC             ', Desarrollador='EA Sports      ', Género='Sports         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='E              ', Fecha de Lanzamiento='Sep 23, 2014', Críticas Positivas=8, Críticas Neutrales=1, Críticas Negativas=0, Reseñas Positivas=18, Reseñas Neutrales=13, Reseñas Negativas=83, Meta Score=82.0, User Score=43.0}
Juego{Nombre='Pro Evolution S', Plataforma='PC             ', Desarrollador='Konami         ', Género='Sports         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='               ', Fecha de Lanzamiento='Nov 13, 2014', Críticas Positivas=6, Críticas Neutrales=2, Críticas Negativas=0, Reseñas Positivas=13, Reseñas Neutrales=12, Reseñas Negativas=25, Meta Score=82.0, User Score=56.0}
Juego{Nombre='FIFA 15        ', Plataforma='PS4            ', Desarrollador='EA Sports      ', Género='Sports         ', Número de Jugadores='Up to 22       ', Clasificación de Edad='E              ', Fecha de Lanzamiento='Sep 23, 2014', Críticas Positivas=40, Críticas Neutrales=7, Críticas Negativas=0, Reseñas Positivas=73, Reseñas Neutrales=72, Reseñas Negativas=123, Meta Score=82.0, User Score=57.0}
Juego{Nombre='Madden NFL 15  ', Plataforma='PS4            ', Desarrollador='EA Sports      ', Género='Sports         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='E              ', Fecha de Lanzamiento='Aug 26, 2014', Críticas Positivas=34, Críticas Neutrales=3, Críticas Negativas=0, Reseñas Positivas=32, Reseñas Neutrales=23, Reseñas Negativas=19, Meta Score=81.0, User Score=61.0}
Juego{Nombre='Madden NFL 15  ', Plataforma='XONE           ', Desarrollador='EA Sports      ', Género='Sports         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='E              ', Fecha de Lanzamiento='Aug 26, 2014', Críticas Positivas=16, Críticas Neutrales=3, Críticas Negativas=0, Reseñas Positivas=19, Reseñas Neutrales=12, Reseñas Negativas=10, Meta Score=80.0, User Score=62.0}
Juego{Nombre='Football Manage', Plataforma='PC             ', Desarrollador='Sports Interact', Género='Sports         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='               ', Fecha de Lanzamiento='Nov  7, 2014', Críticas Positivas=28, Críticas Neutrales=8, Críticas Negativas=0, Reseñas Positivas=8, Reseñas Neutrales=11, Reseñas Negativas=19, Meta Score=80.0, User Score=61.0}
Juego{Nombre='OlliOlli       ', Plataforma='VITA           ', Desarrollador='Tom Hegarty    ', Género='Sports         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='E              ', Fecha de Lanzamiento='Jan 21, 2014', Críticas Positivas=45, Críticas Neutrales=9, Críticas Negativas=1, Reseñas Positivas=5, Reseñas Neutrales=4, Reseñas Negativas=0, Meta Score=79.0, User Score=78.0}
Juego{Nombre='OlliOlli       ', Plataforma='PC             ', Desarrollador='Tom Hegarty    ', Género='Sports         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='E              ', Fecha de Lanzamiento='Jul 22, 2014', Críticas Positivas=8, Críticas Neutrales=4, Críticas Negativas=0, Reseñas Positivas=2, Reseñas Neutrales=2, Reseñas Negativas=1, Meta Score=78.0, User Score=65.0}
Juego{Nombre='Mario Golf: Wor', Plataforma='3DS            ', Desarrollador='Camelot Softwar', Género='Sports         ', Número de Jugadores='Up to 4        ', Clasificación de Edad='E              ', Fecha de Lanzamiento='May  2, 2014', Críticas Positivas=56, Críticas Neutrales=17, Críticas Negativas=0, Reseñas Positivas=17, Reseñas Neutrales=4, Reseñas Negativas=0, Meta Score=78.0, User Score=81.0}
Juego{Nombre='Inazuma Eleven ', Plataforma='3DS            ', Desarrollador='Level 5        ', Género='Sports         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='E10+           ', Fecha de Lanzamiento='Feb 13, 2014', Críticas Positivas=8, Críticas Neutrales=7, Críticas Negativas=0, Reseñas Positivas=3, Reseñas Neutrales=0, Reseñas Negativas=0, Meta Score=78.0, User Score=79.0}
Juego{Nombre='Inazuma Eleven ', Plataforma='3DS            ', Desarrollador='Level 5        ', Género='Sports         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='               ', Fecha de Lanzamiento='Jun 13, 2014', Críticas Positivas=9, Críticas Neutrales=5, Críticas Negativas=0, Reseñas Positivas=1, Reseñas Neutrales=0, Reseñas Negativas=0, Meta Score=75.0, User Score=71.0}
Juego{Nombre='Inazuma Eleven ', Plataforma='3DS            ', Desarrollador='Level 5        ', Género='Sports         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='               ', Fecha de Lanzamiento='Jun 13, 2014', Críticas Positivas=11, Críticas Neutrales=8, Críticas Negativas=0, Reseñas Positivas=2, Reseñas Neutrales=0, Reseñas Negativas=0, Meta Score=74.0, User Score=76.0}
Juego{Nombre='Inazuma Eleven ', Plataforma='3DS            ', Desarrollador='Level 5        ', Género='Sports         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='               ', Fecha de Lanzamiento='Feb 14, 2014', Críticas Positivas=6, Críticas Neutrales=12, Críticas Negativas=0, Reseñas Positivas=0, Reseñas Neutrales=1, Reseñas Negativas=0, Meta Score=70.0, User Score=71.0}
